English,Español
be,ser
and,y
of,de
a,a
in,en
to,a
have,tener
too,también
it,eso
I,yo
that,que
for,por
you,tú
he,él
with,con
on,en
do,hacer
say,decir
this,este
they,ellos
at,a
but,pero
we,nosotros
his,su
from,de
that,que
not,no
can’t,no poder
won’t,no
by,por
she,ella
or,o
as,como
what,qué
go,Vamos
their,sus
can,pueden
who,quién
get,obtener
if,si
would,haría
her,su
all,todos
my,mi
make,hacer
about,sobre
know,saber
will,voluntad
as,como
up,arriba
one,una
time,tiempo
there,allá
year,año
so,asi que
think,pensar
when,cuando
which,cual
them,a ellos
some,alguno
me,yo
people,gente
take,tomar
out,afuera
into,dentro
just,sólo
see,ver
him,a él
your,su
come,venir
could,pudo
now,ahora
than,que
like,me gusta
other,otro
how,cómo
then,después
its,su
our,nuestro
two,dos
more,más
these,estas
want,desear
way,camino
look,Mira
first,primero
also,además
new,nuevo
because,porque
day,día
more,más
use,usar
no,no
man,hombre
find,encontrar
here,aquí
thing,cosa
give,dar
many,muchos
well,bien
only,solamente
those,aquellos
tell,decir
one,una
very,muy
her,su
even,incluso
back,espalda
any,ningún
good,bueno
woman,mujer
through,mediante
us,a nosotros
life,vida
child,niño
there,allá
work,trabajar
down,abajo
may,mayo
after,después
should,debería
call,llamar
world,mundo
over,sobre
school,escuela
still,todavía
try,probar
in,en
as,como
last,ultimo
ask,pedir
need,necesitar
too,también
feel,sentir
three,Tres
when,cuando
state,estado
never,nunca
become,convertirse en
between,Entre
high,alto
really,De Verdad
something,alguna cosa
most,la mayoría
another,otro
much,mucho
family,familia
own,propio
out,afuera
leave,abandonar
put,poner
old,antiguo
while,tiempo
mean,significar
on,en
keep,mantener
student,alumno
why,por qué
let,dejar
great,estupendo
same,mismo
big,grande
group,grupo
begin,empezar
seem,parecer
country,país
help,ayuda
talk,hablar
where,dónde
turn,giro
problem,problema
every,cada
start,comienzo
hand,mano
might,puede que
American,Americano
show,mostrar
part,parte
about,sobre
against,contra
place,lugar
over,sobre
such,tal
again,otra vez
few,pocos
case,caso
most,la mayoría
week,semana
company,empresa
where,dónde
system,sistema
each,cada
right,Correcto
program,programa
hear,oír
so,asi que
question,pregunta
during,durante
work,trabajar
play,desempeñar
government,gobierno
run,correr
small,pequeña
number,número
off,apagado
always,siempre
move,Muevete
like,me gusta
night,noche
live,En Vivo
Mr,Señor
point,punto
believe,creer
hold,mantener
today,Este Dia
bring,traer
happen,suceder
next,Siguiente
without,sin que
before,antes de
large,largo
all,todos
million,millón
must,deber
home,hogar
under,por debajo
water,agua
room,habitación
write,escribe
mother,madre
area,área
national,nacional
money,dinero
story,historia
young,joven
fact,hecho
month,mes
different,diferente
lot,lote
right,Correcto
study,estudiar
book,libro
eye,ojo
job,trabajo
word,palabra
though,aunque
business,negocio
issue,tema
side,lado
kind,tipo
four,cuatro
head,cabeza
far,lejos
black,negro
long,largo
both,ambas cosas
little,poco
house,casa
yes,sí
after,después
since,ya que
long,largo
provide,proveer
service,Servicio
around,alrededor
friend,amigo
important,importante
father,padre
sit,sentar
away,lejos
until,Hasta que
power,energía
hour,hora
game,juego
often,con frecuencia
yet,aún
line,línea
political,político
end,final
among,entre
ever,alguna vez
stand,pararse
bad,malo
lose,perder
however,sin embargo
member,miembro
pay,pagar
law,ley
meet,reunir
car,coche
city,ciudad
